"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2020-09-30";"%variabile PL";"423,6899999999998"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-09-30";"%variabile PL";"910,5600000000002"
"14/143";"APULIA DISTRIBUZIONE";"2020-09-30";"%variabile PL";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-09-30";"%variabile PL";"523,2199999999998"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-09-30";"%variabile PL";"707,6599999999999"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2021-09-30";"%variabile PL";"423,6899999999998"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-09-30";"%variabile PL";"910,5600000000002"
"14/143";"APULIA DISTRIBUZIONE";"2021-09-30";"%variabile PL";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-12-31";"%variabile PL";"523,2199999999998"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-12-31";"%variabile PL";"707,6599999999999"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2020-12-31";"%variabile PL";"423,6899999999998"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-12-31";"%variabile PL";"910,5600000000002"
"14/143";"APULIA DISTRIBUZIONE";"2020-12-31";"%variabile PL";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-12-31";"%variabile PL";"523,2199999999998"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-12-31";"%variabile PL";"707,6599999999999"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2021-12-31";"%variabile PL";"423,6899999999998"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-12-31";"%variabile PL";"910,5600000000002"
"14/143";"APULIA DISTRIBUZIONE";"2021-12-31";"%variabile PL";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"346,24"
"14/121";"IPER MONTEBELLO SPA  ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"661,05"
"14/127";"GS SPA (IPERMERCATI)";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"439,51"
"14/128";"GS SPA (DIPERDI')";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"100,57"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"300,91"
"14/129";"STIVAL SA NV";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"277,05"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"325,72"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"195,52"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"961,26"
"14/126";"MAIORA SRL   ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"1031,05"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"145,75"
"14/125";"LA FUTURA SRL       ";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"27,91"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"157,24"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"346,24"
"14/121";"IPER MONTEBELLO SPA  ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"661,05"
"14/127";"GS SPA (IPERMERCATI)";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"439,51"
"14/128";"GS SPA (DIPERDI')";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"100,57"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"300,91"
"14/129";"STIVAL SA NV";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"277,05"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"325,72"
